492,511,450,612,516,577,546,564,635,681,775,833,1010,987,940,822,811,662,610,531,554,561,534,486,525
483,459,456,480,519,529,587,581,617,691,831,835,1139,1032,992,777,771,704,640,622,569,498,481,531,469
504,502,465,518,529,592,628,660,723,778,896,1023,1184,977,859,721,727,585,613,534,569,463,532,492,482
481,478,504,527,566,555,618,684,741,786,954,1024,1091,941,920,709,716,578,612,579,531,551,514,550,512
512,524,464,557,473,546,557,638,634,775,761,936,1151,1012,977,769,756,635,636,548,525,487,501,446,447
455,463,460,507,513,600,589,677,700,885,869,1075,1122,951,891,735,723,604,614,510,498,506,518,453,463
477,477,526,506,524,551,637,659,819,811,978,1051,1093,885,894,726,692,546,619,513,578,502,514,488,473
473,557,461,557,507,535,587,608,701,748,766,950,1113,1022,898,900,737,624,636,555,561,521,556,487,485
461,481,468,545,533,585,544,617,638,759,834,915,1089,1018,940,748,749,660,619,516,539,544,554,458,492
457,479,494,513,556,540,578,571,677,712,846,890,1073,996,920,740,755,638,680,563,510,653,542,491,464
