981,976,971,798,751,676,637,627,685,620,673,535,649
1088,995,818,746,677,704,663,617,653,565,636,570,608
1110,952,861,740,716,687,663,598,605,602,620,579,567
1062,962,893,797,768,700,654,651,597,634,574,627,624
1162,1012,834,860,696,740,623,668,590,597,543,623,554
1189,1129,1045,902,873,758,682,678,609,600,638,612,559
1111,950,866,822,760,683,679,618,662,648,634,575,639
1083,940,887,787,835,695,621,659,548,658,574,619,591
1126,1003,986,833,788,682,712,660,666,578,587,557,606
1064,1003,964,822,756,688,749,615,626,671,541,625,584
1042,1017,867,840,726,724,637,653,613,624,555,619,594
